Country,Year,gdp,gni,edu_m,edu_f,edu,gra_m,gra_f,gee,er_m,er_f,er,law,cpi
China,2004,3061.833173,4420,,,,,,,77.076,65.253,71.23,0,3.824637431
China,2005,3390.716159,5020,,,,,,,76.593,64.575,70.652,0,1.776414077
China,2006,3800.765796,5830,,,,,,,76.208,63.96,70.154,0,1.649430995
China,2007,4319.031398,6840,,,,,,2.700734854,75.805,63.331,69.64,0,4.816767674
China,2008,4711.643449,7630,,,,,,3.631788254,75.112,62.514,68.886,0,5.92525137
China,2009,5128.904128,8290,,,,,,3.751522064,74.508,61.755,68.205,0,-0.728165251
China,2010,5647.068727,9220,,,,,,3.754642487,74.173,61.167,67.746,0,3.175324753
China,2011,6152.696873,10200,,,,,,3.521965027,73.971,61.152,67.636,0,5.553898923
China,2012,6591.662494,11210,,,,,,3.944000006,73.395,60.83,67.185,0,2.619524326
China,2013,7056.423092,11910,,,,15.29823971,17.04911995,3.710000038,72.828,60.533,66.751,0,2.621050017
China,2014,7532.785301,12720,,,,22.1252594,26.23140907,3.579999924,72.372,60.341,66.425,0,1.921641628
China,2015,8016.445595,13140,,,,25.18878937,30.48180962,3.813999891,71.888,60.133,66.078,0,1.437023809
China,2016,8516.528742,13810,,,,27.35527039,34.05643082,3.760999918,71.419,59.929,65.739,0,2.000001822
China,2017,9053.228725,14730,,,,29.14616013,37.49784851,3.624000072,70.825,59.64,65.295,0,1.593136001
China,2018,9619.209475,15940,,,,29.39012909,39.80183029,3.542494535,70.271,59.385,64.887,0,2.0747904
China,2019,10155.51088,17210,,,,29.48432922,41.32534027,3.541054726,69.503,58.999,64.307,0,2.899234164
China,2020,10358.17,17750,16.81529999,15.41804981,16.1166749,31.1536808,44.67612076,3.572956324,67.817,57.511,62.719,0,2.419421895
China,2021,11223.25535,20260,,,,34.40768051,49.58729935,3.297843456,68.912,59.099,64.056,0,0.981015136
China,2022,11560.24212,22360,,,,37.2638092,52.44742966,3.298387527,68.592,58.44,63.568,0,1.973575557
China,2023,12174.00411,24380,,,,,,,68.137,57.927,63.085,0,0.234836829
Denmark,2004,50792.00095,32980,,,,33.84835052,60.40652847,8.207630157,68.103,57.102,62.502,0,1.154356931
Denmark,2005,51835.83271,34430,,,,37.82099152,68.60250092,8.085570335,67.947,57.205,62.479,0,1.817814583
Denmark,2006,53687.44155,37790,29.91692734,30.95965958,30.43829346,37.08850098,65.04160309,7.729909897,68.738,58.165,63.359,0,1.924221385
Denmark,2007,53935.87025,39210,,,,39.81428146,65.68058014,7.615600109,68.497,58.108,63.213,0,1.693265862
Denmark,2008,53345.35762,41740,,,,37.58782959,62.38444901,7.4760499,68.081,57.466,62.685,0,3.416267943
Denmark,2009,50457.23249,40730,,,,37.52394104,63.60960007,8.448880196,64.395,56.263,60.263,1,1.30470991
Denmark,2010,51173.46616,43700,,,,36.32120895,63.39992905,8.559550285,62.408,54.868,58.579,1,2.31092437
Denmark,2011,51644.46351,45340,27.94457054,33.42956161,30.68706608,38.02867126,63.31697083,8.48486042,62.303,54.124,58.151,1,2.758682261
Denmark,2012,51567.04015,45820,28.57143021,36.01190186,32.29166603,35.83428955,59.71422958,7.237820148,61.4,53.615,57.45,1,2.397914857
Denmark,2013,51831.79793,48210,29.07801056,36.88280869,32.98040962,40.87379074,64.91892242,8.494429588,60.703,53.179,56.887,1,0.78907178
Denmark,2014,52404.76397,49640,37.30723953,29.36046982,33.33385468,42.77978897,69.29889679,7.634850025,61.199,52.944,57.015,1,0.56402054
Denmark,2015,53254.85637,50550,30.66362,39.10549927,34.88455963,,,7.010000229,62.027,53.032,57.469,1,0.452034154
Denmark,2016,54556.06895,53250,32.1819191,39.37643814,35.77917862,,,7.691060066,62.13,53.891,57.957,1,0.25
